                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6412,                 4.6815,                 4.5491,                0.00055,                0.06667,                0.00042,                  8e-05,                 4.6758,                 5.6202,                 4.1592,                      0,                      0,                      0
                      2,                 4.7467,                 4.7192,                 4.6532,                0.00055,                0.06667,                0.00042,                  8e-05,                 4.6758,                 5.6202,                 4.1592,             1.9934e-05,             1.9934e-05,             1.9934e-05
                      3,                  4.612,                 4.5163,                 4.5055,                0.00055,                0.06667,                0.00042,                  8e-05,                 4.6758,                 5.6202,                  4.159,             3.9736e-05,             3.9736e-05,             3.9736e-05
                      4,                 4.8446,                 4.9543,                 4.6616,                0.00055,                0.06667,                0.00042,                  8e-05,                 4.6753,                 5.6169,                 4.1593,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      5,                 4.3541,                 4.8867,                 4.6319,                0.00056,                0.06667,                0.00043,                  9e-05,                 4.6753,                 5.6169,                 4.1593,             7.8944e-05,             7.8944e-05,             7.8944e-05
                      6,                 4.5671,                 4.8214,                 4.5819,                0.00055,                0.06667,                0.00031,                  3e-05,                 4.6754,                 5.6183,                 4.1594,              9.835e-05,              9.835e-05,              9.835e-05
                      7,                 4.8115,                 4.6553,                 4.6574,                0.00055,                0.06667,                0.00042,                  8e-05,                 4.6756,                 5.6184,                 4.1597,             0.00011762,             0.00011762,             0.00011762
                      8,                 4.4487,                 4.7024,                 4.6509,                0.00059,                0.06667,                0.00032,                  9e-05,                 4.6756,                 5.6161,                 4.1593,             0.00013677,             0.00013677,             0.00013677
                      9,                 4.9817,                 4.9604,                 4.5842,                0.00057,                0.06667,                 0.0003,                  9e-05,                 4.6754,                 5.6159,                 4.1595,             0.00015578,             0.00015578,             0.00015578
                     10,                 4.8364,                 4.6795,                 4.6007,                0.00055,                0.06667,                0.00043,                  9e-05,                 4.6754,                 5.6161,                 4.1597,             0.00017465,             0.00017465,             0.00017465
                     11,                 4.7789,                 4.7048,                 4.4919,                0.00056,                0.06667,                0.00043,                  9e-05,                 4.6753,                 5.6198,                 4.1594,              0.0001934,              0.0001934,              0.0001934
