                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6412,                 4.6815,                 4.5491,                0.00055,                0.06667,                0.00034,                  7e-05,                 4.6758,                 5.6202,                 4.1592,                      0,                      0,                      0
                      2,                 4.7467,                 4.7192,                 4.6532,                0.00055,                0.06667,                0.00034,                  7e-05,                 4.6758,                 5.6202,                 4.1592,             1.9901e-05,             1.9901e-05,             1.9901e-05
                      3,                  4.612,                 4.5163,                 4.5055,                0.00055,                0.06667,                0.00034,                  7e-05,                 4.6758,                 5.6202,                  4.159,             3.9604e-05,             3.9604e-05,             3.9604e-05
                      4,                 4.8446,                 4.9543,                 4.6616,                0.00055,                0.06667,                0.00034,                  7e-05,                 4.6753,                 5.6169,                 4.1593,             5.9109e-05,             5.9109e-05,             5.9109e-05
                      5,                 4.3541,                 4.8867,                 4.6319,                0.00056,                0.06667,                0.00035,                  7e-05,                 4.6753,                 5.6169,                 4.1593,             7.8416e-05,             7.8416e-05,             7.8416e-05
                      6,                 4.5671,                 4.8214,                 4.5819,                0.00055,                0.06667,                 0.0003,                  3e-05,                 4.6754,                 5.6183,                 4.1594,             9.7525e-05,             9.7525e-05,             9.7525e-05
                      7,                 4.8115,                 4.6553,                 4.6574,                0.00055,                0.06667,                0.00034,                  7e-05,                 4.6756,                 5.6184,                 4.1597,             0.00011644,             0.00011644,             0.00011644
                      8,                 4.4487,                 4.7024,                 4.6509,                0.00059,                0.06667,                0.00032,                 0.0001,                 4.6756,                 5.6161,                 4.1593,             0.00013515,             0.00013515,             0.00013515
                      9,                 4.9817,                 4.9604,                 4.5842,                0.00057,                0.06667,                0.00031,                  9e-05,                 4.6754,                 5.6159,                 4.1595,             0.00015366,             0.00015366,             0.00015366
                     10,                 4.8358,                 4.6816,                    4.6,                0.00055,                0.06667,                0.00034,                  7e-05,                 4.6754,                 5.6161,                 4.1595,             0.00017198,             0.00017198,             0.00017198
                     11,                 4.7878,                 4.7203,                 4.4973,                0.00056,                0.06667,                0.00035,                  7e-05,                 4.6753,                 5.6196,                 4.1596,              0.0001901,              0.0001901,              0.0001901
                     12,                 4.7528,                 4.4852,                 4.5584,                0.00057,                0.06667,                0.00037,                  7e-05,                 4.6752,                 5.6209,                 4.1592,             0.00020802,             0.00020802,             0.00020802
                     13,                 4.5393,                 4.3107,                 4.4527,                0.00056,                0.06667,                0.00035,                  7e-05,                 4.6799,                 5.6324,                 4.1599,             0.00022574,             0.00022574,             0.00022574
                     14,                 4.6284,                 4.3055,                 4.3179,                0.00056,                0.06667,                0.00035,                  4e-05,                 4.6804,                 5.6354,                 4.1598,             0.00024327,             0.00024327,             0.00024327
                     15,                 4.7419,                 4.1612,                 4.3272,                0.00058,                0.06667,                0.00038,                  4e-05,                 4.6687,                 5.6313,                   4.16,              0.0002606,              0.0002606,              0.0002606
                     16,                 4.7617,                 4.2418,                 4.2932,                0.00057,                0.06667,                0.00034,                  7e-05,                  4.669,                 5.6322,                 4.1597,             0.00027773,             0.00027773,             0.00027773
                     17,                  4.423,                 4.0846,                 4.2702,                0.00058,                0.06667,                0.00037,                0.00011,                 4.6688,                  5.634,                 4.1595,             0.00029466,             0.00029466,             0.00029466
                     18,                 4.4935,                 4.3304,                 4.1929,                0.00057,                0.06667,                0.00037,                0.00011,                 4.6692,                 5.6373,                 4.1603,             0.00031139,             0.00031139,             0.00031139
                     19,                 4.3604,                 3.9069,                 4.1734,                0.00056,                0.06667,                0.00038,                0.00011,                 4.6701,                 5.6423,                 4.1602,             0.00032792,             0.00032792,             0.00032792
                     20,                 4.2767,                 3.8654,                 4.1887,                0.00056,                0.06667,                0.00036,                0.00011,                 4.6719,                 5.6447,                 4.1604,             0.00034426,             0.00034426,             0.00034426
                     21,                 4.4812,                 3.9967,                 4.0747,                0.00056,                0.06667,                0.00036,                0.00011,                 4.6696,                 5.6479,                 4.1612,              0.0003604,              0.0003604,              0.0003604
                     22,                 4.1178,                 3.6315,                 4.1502,                0.00057,                0.06667,                0.00037,                0.00011,                 4.6656,                 5.6553,                 4.1618,             0.00037634,             0.00037634,             0.00037634
                     23,                 4.2502,                 3.5913,                   4.04,                0.00058,                0.06667,                0.00039,                0.00012,                 4.6652,                 5.6625,                 4.1626,             0.00039208,             0.00039208,             0.00039208
                     24,                 4.2405,                 3.5694,                  4.093,                0.00058,                0.06667,                0.00038,                0.00012,                 4.6663,                  5.669,                 4.1637,             0.00040763,             0.00040763,             0.00040763
                     25,                 4.1556,                 3.5343,                 4.0394,                0.00057,                0.06667,                0.00041,                0.00012,                 4.6655,                 5.6767,                  4.165,             0.00042298,             0.00042298,             0.00042298
                     26,                 4.2811,                 3.6911,                 3.9129,                0.00058,                0.06667,                 0.0004,                0.00012,                 4.6571,                 5.6417,                 4.1664,             0.00043812,             0.00043812,             0.00043812
                     27,                 4.1017,                  3.593,                 3.9015,                0.00058,                0.06667,                 0.0004,                0.00012,                 4.6545,                 5.6463,                 4.1683,             0.00045308,             0.00045308,             0.00045308
                     28,                 4.1106,                 3.3385,                 3.9239,                0.00058,                0.06667,                 0.0004,                0.00012,                 4.6571,                 5.6627,                 4.1704,             0.00046783,             0.00046783,             0.00046783
                     29,                  3.969,                 3.3789,                  3.896,                0.00057,                0.06667,                 0.0004,                0.00012,                 4.6468,                 5.6622,                  4.173,             0.00048238,             0.00048238,             0.00048238
                     30,                 3.8101,                 3.4106,                 3.9657,                0.00057,                0.06667,                0.00039,                0.00012,                 4.6495,                 5.6786,                 4.1756,             0.00049674,             0.00049674,             0.00049674
                     31,                 3.7436,                 3.3188,                 3.8639,                0.00057,                0.06667,                0.00039,                0.00012,                 4.6358,                 5.6443,                 4.1779,              0.0005109,              0.0005109,              0.0005109
                     32,                 3.7812,                 3.1115,                 3.7983,                0.00057,                0.06667,                0.00039,                0.00012,                 4.6346,                 5.6518,                 4.1805,             0.00052486,             0.00052486,             0.00052486
                     33,                  3.767,                 3.2556,                 3.8285,                0.00056,                0.06667,                 0.0004,                0.00012,                 4.6269,                 5.6278,                 4.1831,             0.00053862,             0.00053862,             0.00053862
                     34,                 3.8853,                 3.0811,                 3.6479,                0.00057,                0.06667,                0.00039,                0.00012,                 4.6242,                 5.6432,                 4.1866,             0.00055219,             0.00055219,             0.00055219
                     35,                 3.5372,                 3.1462,                 3.5623,                0.00057,                0.06667,                 0.0004,                0.00012,                 4.6237,                 5.6704,                 4.1907,             0.00056556,             0.00056556,             0.00056556
                     36,                 3.4572,                 3.0283,                 3.5673,                0.00056,                0.06667,                0.00038,                0.00012,                 4.6105,                 5.6791,                 4.1951,             0.00057872,             0.00057872,             0.00057872
                     37,                 3.4375,                 2.9268,                 3.5983,                0.00057,                0.06667,                0.00041,                0.00012,                 4.6049,                 5.6799,                 4.2001,              0.0005917,              0.0005917,              0.0005917
                     38,                 3.4606,                 2.9258,                 3.4493,                0.00057,                0.06667,                 0.0004,                0.00012,                 4.5927,                 5.6344,                 4.2046,             0.00060447,             0.00060447,             0.00060447
                     39,                 3.4908,                 2.8162,                 3.4298,                0.00059,                0.06667,                0.00043,                0.00013,                 4.5886,                 5.6031,                 4.2087,             0.00061704,             0.00061704,             0.00061704
                     40,                 3.0751,                 2.7231,                 3.4591,                0.00059,                0.06667,                0.00045,                0.00014,                 4.5841,                  5.568,                 4.2128,             0.00062942,             0.00062942,             0.00062942
                     41,                 3.1979,                 2.9209,                  3.359,                 0.0006,                0.06667,                0.00045,                0.00013,                 4.5707,                 5.5615,                 4.2166,              0.0006416,              0.0006416,              0.0006416
                     42,                 3.3162,                 2.7635,                 3.2966,                0.00059,                0.06667,                0.00043,                0.00013,                 4.5625,                  5.411,                 4.2199,             0.00065358,             0.00065358,             0.00065358
                     43,                 3.1525,                 2.6868,                 3.2942,                0.00059,                0.06667,                0.00045,                0.00013,                 4.5549,                 5.4385,                 4.2234,             0.00066536,             0.00066536,             0.00066536
                     44,                 3.2721,                 2.6407,                 3.2445,                0.00059,                0.06667,                0.00041,                0.00012,                 4.5436,                 5.4752,                 4.2259,             0.00067695,             0.00067695,             0.00067695
                     45,                 3.2779,                 2.6421,                 3.2208,                0.00059,                0.06667,                0.00039,                0.00012,                 4.5372,                 5.5083,                 4.2291,             0.00068834,             0.00068834,             0.00068834
                     46,                 3.1938,                  2.841,                 3.2864,                 0.0006,                0.06667,                 0.0004,                0.00012,                 4.5406,                  5.495,                 4.2339,             0.00069953,             0.00069953,             0.00069953
                     47,                 3.1168,                 2.5167,                 3.0548,                0.00059,                0.06667,                0.00039,                0.00012,                 4.5367,                 5.4805,                 4.2392,             0.00071052,             0.00071052,             0.00071052
                     48,                 3.2069,                 2.7687,                 3.1361,                0.00059,                0.06667,                0.00039,                0.00012,                  4.533,                 5.3985,                 4.2435,             0.00072131,             0.00072131,             0.00072131
                     49,                 3.0209,                 2.5887,                 3.0494,                0.00059,                0.06667,                0.00039,                0.00012,                 4.5289,                 5.3476,                 4.2478,              0.0007319,              0.0007319,              0.0007319
                     50,                 3.0354,                 2.5011,                 2.9363,                0.00059,                0.06667,                 0.0004,                0.00012,                 4.5283,                 5.3167,                 4.2521,              0.0007423,              0.0007423,              0.0007423
                     51,                 2.9489,                 2.4713,                  2.962,                0.00059,                0.06667,                 0.0004,                  8e-05,                  4.531,                 4.5231,                 4.2547,              0.0007525,              0.0007525,              0.0007525
                     52,                   2.97,                 2.5037,                 2.9584,                0.00059,                0.06667,                0.00039,                  8e-05,                 4.5273,                  4.531,                 4.2585,              0.0007625,              0.0007625,              0.0007625
                     53,                 3.1016,                 2.4141,                 2.8783,                0.00059,                0.06667,                 0.0004,                  8e-05,                 4.5341,                 4.5415,                 4.2589,              0.0007723,              0.0007723,              0.0007723
                     54,                 2.9484,                  2.356,                 2.8744,                0.00059,                0.06667,                 0.0004,                  8e-05,                 4.5396,                 4.5892,                 4.2564,             0.00078191,             0.00078191,             0.00078191
                     55,                 2.8003,                  2.307,                 2.7871,                 0.0006,                0.06667,                0.00039,                  8e-05,                 4.5494,                 4.6499,                 4.2556,             0.00079132,             0.00079132,             0.00079132
